time,open,high,low,close
1245418200,92.58,92.7,91.52,92.03999
1245677400,91.14,91.19,89.25,89.28
1245763800,89.47,89.88,88.85001,89.35001
1245850200,90.16,91.08,89.60001,90.118
1245936600,89.67,92.17,89.57001,92.08
1246023000,91.77,92.24001,91.27,91.84
1246282200,92.11,92.82001,91.60001,92.7
1246368600,92.72,93.06,91.27,91.95
1246455000,92.34,93.23,92.21001,92.33
1246541400,91.13,92.3624,89.75999,89.81
1246887000,88.94,89.92999,88.66,89.8
1246973400,89.71001,89.82001,88,88.06
1247059800,88.59,88.8,87,88
1247146200,88.61,88.89999,87.91,88.17
1247232600,87.7,88.49001,87.35001,87.96001
1247491800,88.31,90.17,87.59,90.10201
1247578200,90.38,90.69,89.73,90.61
1247664600,91.81,93.50999,90.6795,93.25999
1247751000,93,94.50999,92.82001,94.14999
1247837400,94.06,94.32001,93.53999,94.13
1248096600,94.67999,95.28999,94.19,95.131
1248183000,95.87,95.89999,94.42,95.57001
1248269400,94.96001,96.13,94.89,95.55
1248355800,95.61,98.08,95.53,97.661
1248442200,97.2,98.14,96.69,98.06
1248701400,97.88,98.39999,97.34,98.35001
1248787800,97.66,98.37,97.06,97.89
1248874200,97.44,98.088,96.98,97.65199
1248960600,98.83,99.83,98.60001,98.67
1249047000,98.64999,99.47,98.38,98.81
1249306200,99.85001,100.53,99.31,100.44
1249392600,99.99001,100.84,99.78,100.7
1249479000,100.77,100.855,99.58,100.41
1249565400,100.87,101.02,99.42,99.89
1249651800,100.94,102.03,100.39,101.202
1249911000,100.74001,101.22,100.27,100.99001
1249997400,100.53999,100.61,99.46001,99.73
1250083800,99.56,101.56,99.50999,100.8
1250170200,101.25999,101.61,100.25999,101.57001
1250256600,101.52,101.60001,99.7,100.78999
1250515800,98.85001,98.95,98.11501,98.31
1250602200,98.53,99.44,98.35001,99.09
1250688600,98.31,100.3,98.21001,99.96001
1250775000,100.09,101.22,99.87,100.99001
1250861400,101.82001,103.13,101.62,102.97
1251120600,103.39,103.95,102.59,102.96001
1251207000,103.37,104.25999,102.94,103.16
1251293400,102.84,103.64,102.49001,103.17
1251379800,103.11,103.72,101.94,103.39999
1251466200,104.23,104.35001,102.67,103.38
1251725400,102.37,102.58,101.78999,102.46001
1251811800,101.95,103.24001,99.99001,100.2
1251898200,99.78,100.44,99.57001,99.82001
1251984600,100.39999,100.77,99.59,100.64999
1252071000,100.85001,102.09,100.55,102.06
1252416600,103,103.05,102.39,102.94
1252503000,103.12,104.08,102.8,103.73
1252589400,103.8,104.86,103.22,104.78999
1252675800,104.99001,105.3,104.28,104.77
1252935000,103.88,105.46001,103.14999,105.28
1253021400,105.45,106.11,104.75999,105.72
1253107800,106.10001,107.34,105.72881,107.32001
1253194200,107.17,108.06,106.57001,107.16
1253280600,107.14999,107.16,106.36,106.72
1253539800,105.89,107,105.66,106.45
1253626200,107.08,107.37,106.60001,107.07001
1253712600,107.32001,108.03,105.99001,106.17999
1253799000,106.41,106.64,104.55,105.00999
1253885400,104.78,105.36,104.09,104.45
1254144600,104.85001,106.55,104.83,106.32001
1254231000,106.50999,107.02,105.78,106
1254317400,106.36,106.46001,104.62,105.59
1254403800,105.34,105.73309,102.95,103
1254490200,102.02,103.10001,101.99001,102.49001
1254749400,102.89999,104.32001,102.60001,104.02
1254835800,104.77,106.11,104.71001,105.50999
1254922200,105.27,105.91,105.07001,105.8
1255008600,106.55,107.17,105.84489,106.61
1255095000,106.64,107.25999,106.36,107.25999
1255354200,107.75999,108.09,107.28,107.67999
1255440600,107.39,107.7132,106.75999,107.46001
1255527000,108.72,109.42,107.4174,109.31
1255613400,108.78,109.71001,108.73,109.71001
1255699800,108.8,109.27,108.23,108.89
1255959000,109.07001,110.13,108.73,109.78999
1256045400,109.95,109.985,108.67999,109.211
1256131800,109.03999,110.31,108.14999,108.23
1256218200,108.19,109.67999,107.5,109.33
1256304600,109.69,109.75999,107.63,108.08
1256563800,108.2,109.31,106.61,106.91
1256650200,107.03,107.39,106.16,106.42
1256736600,106.14999,106.4783,104.35001,104.41
1256823000,105.19,106.86,104.94,106.64999
1256909400,106.3,106.62,103.44,103.56
1257172200,104.13,105.41,103.08,104.32001
1257258600,103.74001,104.8,103.53999,104.64999
1257345000,105.50999,106.33,104.64999,104.92
1257431400,105.66,106.88,105.44,106.8501
1257517800,106.25999,107.39999,106.05,107.13
1257777000,107.95,109.63,107.87,109.57001
1257863400,109.31,109.92999,108.97,109.59
1257949800,110.31,110.82001,109.62,110.14999
1258036200,110,110.57001,108.75,109.03
1258122600,109.31,110.09,108.75,109.62
1258381800,110.38,111.69,110.32001,111.21001
1258468200,110.92,111.39,110.5,111.339
1258554600,111.25999,111.42999,110.57001,111.27
1258641000,110.50999,111.30589,109.13,109.82001
1258727400,109.25,109.75999,109.00999,109.42999
1258986600,110.72,111.74001,110.60001,110.82001
1259073000,111,111.20219,110.00999,110.99001
1259159400,111.17,111.5,110.82001,111.38
1259332200,108.39999,110.32001,108.28999,109.57001
1259591400,109.48,110.2,108.12,109.94
1259677800,110.92,111.66,110.73,111.3
